City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Camocim,-2.9022,-40.8411,81.72,81,100,9.69,BR,1615994063
Iqaluit,63.7506,-68.5145,-11.0,64,75,2.17,CA,1615993901
Tuatapere,-46.1333,167.6833,43.0,90,4,3.42,NZ,1615994064
Port Alfred,-33.5906,26.891,73.26,81,68,14.9,ZA,1615994064
San Cristobal,7.7669,-72.225,75.2,100,75,4.36,VE,1615994064
Jamestown,42.097,-79.2353,35.6,93,90,3.87,US,1615994064
Cape Town,-33.9258,18.4232,82.0,57,0,16.11,ZA,1615993952
Mogadishu,2.0371,45.3438,84.2,65,20,12.66,SO,1615994065
Galle,6.0367,80.217,80.51,78,100,6.22,LK,1615993853
Busselton,-33.65,115.3333,64.0,93,46,10.6,AU,1615994065
Mataura,-46.1927,168.8643,43.0,90,1,2.06,NZ,1615994066
Nhulunbuy,-12.2333,136.7667,78.8,89,100,4.54,AU,1615994066
Bilibino,68.0546,166.4372,-24.38,99,41,2.08,RU,1615994066
Ushuaia,-54.8,-68.3,50.0,66,0,14.97,AR,1615993888
Rikitea,-23.1203,-134.9692,78.66,72,74,11.05,PF,1615994067
Yerbogachën,61.2767,108.0108,10.67,94,92,6.04,RU,1615994067
Arlit,18.7369,7.3853,103.1,8,45,16.02,NE,1615994067
Sitka,57.0531,-135.33,39.2,70,75,17.27,US,1615994067
Bacabal,-4.2917,-44.7917,81.95,87,77,4.61,BR,1615994068
Butaritari,3.0707,172.7902,79.72,79,91,12.73,KI,1615994068
Nanortalik,60.1432,-45.2371,37.63,82,88,28.3,GL,1615994068
Tabory,58.5198,64.5495,29.3,91,100,6.42,RU,1615994069
Yatou,37.15,122.3833,40.23,40,17,7.11,CN,1615994069
Namatanai,-3.6667,152.4333,80.04,76,98,4.85,PG,1615994069
Avera,33.194,-82.5271,53.6,88,90,5.75,US,1615994069
Longyearbyen,78.2186,15.6401,-0.4,42,0,12.66,SJ,1615994070
Kapaa,22.0752,-159.319,70.0,73,90,20.71,US,1615994070
Moyale,3.5167,39.0584,69.24,83,100,18.05,KE,1615994070
Barrow,71.2906,-156.7887,-5.8,77,90,6.91,US,1615993982
Xining,36.6167,101.7667,40.62,43,0,1.14,CN,1615994071
Talnakh,69.4865,88.3972,-6.99,97,100,6.96,RU,1615994071
Grindavik,63.8424,-22.4338,44.6,100,90,24.16,IS,1615994071
Bredasdorp,-34.5322,20.0403,75.2,57,54,14.97,ZA,1615994072
Imeni Vorovskogo,55.7233,38.3414,32.0,80,40,4.47,RU,1615994072
Fort Nelson,58.8053,-122.7002,19.4,79,75,3.44,CA,1615994072
Nikolskoye,59.7035,30.7861,33.01,86,90,6.71,RU,1615994073
Samarai,-10.6167,150.6667,81.23,77,91,3.11,PG,1615994073
Hobart,-42.8794,147.3294,55.99,87,4,2.3,AU,1615993988
Mount Gambier,-37.8333,140.7667,60.8,77,7,3.44,AU,1615994073
Dikson,73.5069,80.5464,-23.87,99,91,10.11,RU,1615994074
Saskylakh,71.9167,114.0833,-23.13,94,100,8.21,RU,1615994074
Turaif,31.6725,38.6637,69.8,43,0,9.22,SA,1615994074
Tezu,27.9167,96.1667,74.07,31,54,4.18,IN,1615994074
Hermanus,-34.4187,19.2345,77.0,67,1,5.01,ZA,1615994075
Souillac,-20.5167,57.5167,80.6,65,20,9.22,MU,1615994075
Bluff,-46.6,168.3333,43.0,90,8,4.54,NZ,1615994075
Punta Arenas,-53.15,-70.9167,51.8,62,75,31.07,CL,1615993885
Atuona,-9.8,-139.0333,80.08,73,27,9.98,PF,1615994076
Maragogi,-9.0122,-35.2225,84.58,58,1,9.26,BR,1615994076
Kavieng,-2.5744,150.7967,82.96,70,96,7.2,PG,1615994076
Khatanga,71.9667,102.5,-28.97,96,100,10.16,RU,1615994077
Tevriz,57.509,72.4042,25.11,94,100,7.14,RU,1615994077
Vaini,-21.2,-175.2,73.4,94,40,4.61,TO,1615994077
Albany,42.6001,-73.9662,36.0,53,20,3.83,US,1615994077
East London,-33.0153,27.9116,73.4,83,75,9.22,ZA,1615994078
Mahébourg,-20.4081,57.7,80.6,65,20,9.22,MU,1615994078
Norman Wells,65.282,-126.8329,-27.4,75,20,2.3,CA,1615994078
San Patricio,28.017,-97.5169,68.0,73,90,11.5,US,1615994079
Morondava,-20.2833,44.2833,82.53,75,0,8.81,MG,1615994079
Havre-St-Pierre,50.2334,-63.5986,15.8,73,1,5.75,CA,1615994079
Port Macquarie,-31.4333,152.9167,64.4,100,75,8.05,AU,1615994080
Presque Isle,46.6811,-68.0159,35.6,32,90,8.05,US,1615994080
Gaozhou,21.9392,110.8461,74.55,79,0,6.17,CN,1615994080
Castro,-24.7911,-50.0119,76.1,77,66,5.93,BR,1615994080
Raudeberg,61.9875,5.1352,39.99,86,100,6.6,NO,1615994081
Cotonou,6.3654,2.4183,82.4,83,40,12.66,BJ,1615994081
Saint-Philippe,-21.3585,55.7679,84.2,58,0,3.44,RE,1615994081
Nísia Floresta,-6.0911,-35.2086,87.8,58,75,13.8,BR,1615993960
Paciran,-6.8767,112.3761,82.0,78,70,1.77,ID,1615994082
Florianópolis,-27.6146,-48.5012,86.0,66,0,16.11,BR,1615994041
Dennis,41.7354,-70.1939,39.99,56,90,8.05,US,1615994082
Amapá,1.0,-52.0,85.6,57,40,5.01,BR,1615994082
Farīdpur,23.6,89.8333,82.4,51,0,3.98,BD,1615994082
Saint Paul Harbor,57.79,-152.4072,28.4,50,90,8.05,US,1615994083
Hambantota,6.1241,81.1185,82.4,83,20,3.44,LK,1615994083
Yellowknife,62.456,-114.3525,6.8,72,90,4.61,CA,1615993986
Mossamedes,-15.1961,12.1522,86.0,66,40,11.5,AO,1615994083
Provideniya,64.3833,-173.3,-6.39,87,9,7.7,RU,1615994084
Alihe,50.5667,123.7167,20.17,88,100,2.53,CN,1615994084
Rawson,-43.3002,-65.1023,56.57,40,33,12.06,AR,1615993806
Praia da Vitória,38.7333,-27.0667,63.0,67,40,16.46,PT,1615993912
Trelew,-43.249,-65.3051,57.87,33,3,10.0,AR,1615994047
Okhotsk,59.3833,143.3,3.58,65,0,16.49,RU,1615994085
General Roca,-39.0333,-67.5833,53.6,66,75,11.5,AR,1615994085
Lagoa,39.05,-27.9833,59.45,79,94,24.27,PT,1615994085
Carnarvon,-24.8667,113.6333,80.6,78,0,14.97,AU,1615994085
Fairbanks,64.8378,-147.7164,1.0,84,90,2.24,US,1615993812
Vila do Maio,15.1333,-23.2167,78.8,53,0,17.27,CV,1615994086
Torbay,47.6666,-52.7314,27.0,68,20,14.97,CA,1615994086
Hasaki,35.7333,140.8333,48.2,43,20,3.44,JP,1615994086
Ahipara,-35.1667,173.1667,61.32,94,26,6.35,NZ,1615994087
Avarua,-21.2078,-159.775,80.6,83,75,13.8,CK,1615994087
Elbasan,41.1125,20.0822,51.8,43,75,11.5,AL,1615994006
Balikpapan,-1.2675,116.8289,78.94,87,93,3.71,ID,1615994087
Margate,51.3813,1.3862,48.99,83,98,1.99,GB,1615994088
Langelsheim,51.9333,10.3333,46.0,63,88,4.0,DE,1615994088
Diffa,13.3154,12.6113,100.11,9,72,12.64,NE,1615994088
Manoel Urbano,-8.8389,-69.2597,87.78,50,1,4.21,BR,1615994089
Lebu,-37.6167,-73.65,61.21,65,0,7.67,CL,1615994089
Kaitangata,-46.2817,169.8464,45.0,90,5,3.0,NZ,1615994089
Aktobe,50.2797,57.2072,19.4,58,0,15.66,KZ,1615994089
Pevek,69.7008,170.3133,-22.02,99,100,3.29,RU,1615994090
Palmer,42.1584,-72.3287,41.0,60,40,4.32,US,1615994090
Muroto-misakicho,33.2833,134.15,54.59,73,100,16.35,JP,1615994090
Sept-Îles,50.2001,-66.3821,28.99,54,20,6.91,CA,1615994091
Los Llanos de Aridane,28.6585,-17.9182,69.8,64,20,11.5,ES,1615994091
Hilo,19.7297,-155.09,69.8,88,90,4.61,US,1615994091
Saint George,37.1041,-113.5841,37.4,87,1,1.3,US,1615994091
Şabrātah,32.7933,12.4885,60.84,55,8,9.86,LY,1615994092
Betong,5.7743,101.0723,72.66,90,19,1.45,TH,1615994092
Hualmay,-11.0964,-77.6139,77.34,67,85,10.74,PE,1615994092
Puerto Ayora,-0.7393,-90.3518,81.0,83,40,6.91,EC,1615994093
Clyde River,70.4692,-68.5914,-22.0,76,20,4.61,CA,1615994093
Jimo,36.3897,120.4622,46.0,45,0,2.24,CN,1615994093
Lüderitz,-26.6481,15.1594,69.21,70,0,17.25,NA,1615994093
Visby,57.6409,18.296,36.0,80,40,14.97,SE,1615993939
Dwārka,22.2394,68.9678,77.27,76,21,13.33,IN,1615994094
Liverpool,53.4106,-2.9779,51.8,71,98,13.8,GB,1615994094
Hong Kong,22.2855,114.1577,75.99,86,33,1.01,HK,1615993838
Nueva Loja,0.0847,-76.8828,80.6,78,75,2.3,EC,1615994095
Okha,53.5739,142.9478,12.6,77,100,14.99,RU,1615994095
Bolobo,-2.1667,16.2333,88.79,46,34,1.23,CD,1615994095
Kununurra,-15.7667,128.7333,77.0,100,75,5.75,AU,1615994095
Te Anau,-45.4167,167.7167,38.71,93,2,1.3,NZ,1615994096
Cidreira,-30.1811,-50.2056,84.02,66,98,6.51,BR,1615994096
New Norfolk,-42.7826,147.0587,55.99,65,0,1.01,AU,1615994096
Narsaq,60.9167,-46.05,51.8,32,20,17.27,GL,1615994097
Tegul'det,57.3064,88.1667,12.63,93,57,7.49,RU,1615994097
Upernavik,72.7868,-56.1549,-2.24,94,98,3.8,GL,1615994097
Batagay,67.6333,134.6333,3.15,73,33,13.73,RU,1615994097
Lauda-Königshofen,49.5653,9.7042,39.99,80,75,9.22,DE,1615994098
Diamantino,-14.4086,-56.4461,82.42,74,86,4.34,BR,1615994098
Zeya,53.75,127.2667,12.43,89,100,3.38,RU,1615994098
Guerrero Negro,27.9769,-114.0611,56.14,77,0,8.93,MX,1615994099
Gizo Government Station,-8.103,156.8419,82.2,72,100,2.84,SB,1615994099
Bethel,41.3712,-73.414,39.2,75,90,2.57,US,1615994099
Longido,-2.7333,36.6833,80.69,39,99,13.53,TZ,1615994100
Rabo de Peixe,37.8,-25.5833,60.8,67,75,9.22,PT,1615994100
Cherskiy,68.75,161.3,-20.9,88,0,4.65,RU,1615994100
Saint-Pierre,-21.3393,55.4781,84.2,58,0,3.44,RE,1615994100
Cayenne,4.9333,-52.3333,86.0,62,75,8.05,GF,1615994101
Jumla,29.2747,82.1838,45.01,54,22,4.97,NP,1615994101
Gushikawa,26.3544,127.8686,69.8,88,1,6.91,JP,1615994102
Isangel,-19.55,169.2667,77.45,87,7,8.39,VU,1615994102
Bandarbeyla,9.4942,50.8122,79.05,76,15,15.14,SO,1615994102
Atar,20.5169,-13.0499,93.72,6,95,3.13,MR,1615994103
Bairiki Village,1.3292,172.9752,78.8,89,75,2.3,KI,1615994103
Lumberton,34.6182,-79.0086,48.2,100,90,4.61,US,1615993813
Lam Luk Ka,13.9323,100.7494,84.2,74,20,6.91,TH,1615993824
San Simón de la Laguna,19.3,-100.0833,57.2,47,1,1.86,MX,1615994103
Las Vegas,36.175,-115.1372,48.0,61,1,3.44,US,1615993807
Anchorage,61.2181,-149.9003,8.6,71,20,2.66,US,1615993808
George Town,5.4112,100.3354,84.99,65,20,5.75,MY,1615994088
Maniitsoq,65.4167,-52.9,16.7,79,93,17.11,GL,1615994105
Vao,-22.6667,167.4833,76.78,82,2,24.58,NC,1615994106
Saint-Joseph,-21.3667,55.6167,84.2,58,0,3.44,RE,1615994106
Touros,-5.1989,-35.4608,87.8,58,75,13.8,BR,1615994106
Calatayud,41.3535,-1.6432,69.8,26,0,17.27,ES,1615994107
Timaru,-44.4,171.25,53.01,90,100,1.99,NZ,1615994087
Kalmunai,7.4167,81.8167,79.61,73,100,8.39,LK,1615994107
Mar del Plata,-38.0023,-57.5575,61.0,77,90,28.77,AR,1615994090
Trincomalee,8.5711,81.2335,81.57,72,56,10.85,LK,1615994107
Panacan,9.2463,118.4082,79.68,79,2,4.59,PH,1615994108
Lakes Entrance,-37.8811,147.981,53.01,94,76,11.81,AU,1615994108
Karagay,58.2667,54.9368,24.17,92,100,9.33,RU,1615994108
Tuktoyaktuk,69.4541,-133.0374,-22.0,76,20,5.75,CA,1615994109
Morón,-34.6534,-58.6198,66.2,72,75,20.71,AR,1615994109
Katsuura,35.1333,140.3,53.01,40,20,10.36,JP,1615994109
Smolenka,52.1352,113.4974,15.8,62,0,4.47,RU,1615994110
Townsville,-19.25,146.8,80.6,83,40,8.05,AU,1615994110
Hithadhoo,-0.6,73.0833,83.61,68,76,6.2,MV,1615993849
Qaanaaq,77.484,-69.3632,-5.08,97,100,1.88,GL,1615994110
Alofi,-19.0595,-169.9187,75.2,88,24,8.05,NU,1615994111
Vryburg,-26.9566,24.7284,81.19,39,35,12.73,ZA,1615994111
Kushmurun,52.4503,64.6311,12.61,81,56,10.22,KZ,1615994111
Ostrovnoy,68.0531,39.5131,9.14,92,32,12.28,RU,1615994111
Barra de Tecoanapa,16.5167,-98.75,81.48,66,8,2.13,MX,1615994112
Kwinana,-32.25,115.7667,71.01,94,0,6.91,AU,1615994112
La Ciotat,43.1748,5.6045,61.0,40,20,10.0,FR,1615994112
Vardø,70.3705,31.1107,24.8,93,75,35.68,NO,1615994113
Ribeira Grande,38.5167,-28.7,62.6,82,40,21.85,PT,1615994113
Tiksi,71.6872,128.8694,-23.08,97,100,11.27,RU,1615994113
Porbandar,21.6422,69.6093,77.94,64,0,12.97,IN,1615994114
Daru,-9.0763,143.2092,75.51,87,100,3.69,PG,1615994114
Makakilo City,21.3469,-158.0858,69.8,78,1,9.22,US,1615994114
Bilma,18.6853,12.9164,95.58,9,0,7.72,NE,1615994114
Srednekolymsk,67.45,153.6833,-10.84,82,0,4.21,RU,1615994115
Bara,10.3744,10.7288,98.6,26,100,2.93,NG,1615994115
Antsirabe,-19.85,47.0333,64.33,93,100,5.46,MG,1615994115
Pathein,16.7833,94.7333,72.48,89,30,6.49,MM,1615994116
Lorengau,-2.0226,147.2712,80.65,76,11,0.49,PG,1615994116
Fare,-16.7,-151.0167,81.91,73,48,10.71,PF,1615994116
Dingle,10.9995,122.6711,77.52,83,65,5.91,PH,1615994116
Bariloche,-41.1456,-71.3082,51.01,76,90,8.05,AR,1615994117
Thompson,55.7435,-97.8558,14.0,57,1,9.22,CA,1615994117
Port Blair,11.6667,92.75,80.82,69,0,6.46,IN,1615994117
Fulton,33.7668,-84.4499,52.0,93,90,12.66,US,1615993955
Quatre Cocos,-20.2078,57.7625,80.6,65,20,9.22,MU,1615994118
Lavrentiya,65.5833,-171.0,-7.1,83,100,7.2,RU,1615994118
Kaputa,-8.4689,29.6619,78.91,72,59,3.78,ZM,1615994118
Kopong,-24.4833,25.8833,80.6,41,75,5.75,BW,1615994119
Gold Coast,-28.0,153.4333,68.0,94,75,5.75,AU,1615994022
Klaksvík,62.2266,-6.589,46.4,100,90,11.5,FO,1615994119
Jämsä,61.8642,25.19,32.0,69,90,8.05,FI,1615994120
Lipari,38.4674,14.954,57.99,56,29,8.43,IT,1615994120
Makkah al Mukarramah,21.4267,39.8261,88.39,30,1,13.2,SA,1615993980
Zhezkazgan,47.8043,67.7144,12.63,72,0,6.53,KZ,1615994120
Hongjiang,27.11,109.9956,62.46,95,56,2.51,CN,1615994121
Somerset East,-32.7217,25.588,76.19,51,1,13.15,ZA,1615994121
Chapada dos Guimarães,-15.4606,-55.7497,73.4,94,75,11.5,BR,1615994121
Binga,-17.6203,27.3414,82.47,59,34,6.22,ZW,1615994122
San Miguel de Tucumán,-26.8241,-65.2226,73.4,64,75,9.22,AR,1615993822
Ust'-Omchug,61.15,149.6333,-17.55,86,0,4.0,RU,1615994122
Bosaso,11.2842,49.1816,80.6,78,0,16.11,SO,1615994122
Chokurdakh,70.6333,147.9167,-16.46,90,35,6.6,RU,1615994123
Leningradskiy,69.3833,178.4167,-11.72,88,97,16.46,RU,1615994123
Vallenar,-28.5708,-70.7581,74.68,35,0,6.82,CL,1615994123
Manyana,-23.4,21.7167,83.71,37,99,5.26,BW,1615993877
Yulara,-25.2406,130.9889,69.8,23,99,6.91,AU,1615994123
Turukhansk,65.8167,87.9833,24.01,95,100,16.4,RU,1615994124
Tura,25.5198,90.2201,71.78,22,0,2.66,IN,1615994124
Nyimba,-14.5566,30.8149,77.65,89,99,2.75,ZM,1615994124
Petapa,14.5028,-90.5517,70.0,63,40,9.22,GT,1615994125
Vredendal,-31.6683,18.5012,76.57,47,0,17.6,ZA,1615994125
Raja,8.4596,25.678,85.84,52,100,7.81,SS,1615994125
Ust-Nera,64.5667,143.2,-10.44,95,98,4.72,RU,1615994126
Promissão,-21.5367,-49.8581,83.39,62,87,6.89,BR,1615994126
Yar-Sale,66.8333,70.8333,-11.38,96,92,9.89,RU,1615994126
Koygorodok,60.445,50.9968,32.11,97,100,6.82,RU,1615994126
Jiazi,22.8779,116.067,71.42,88,4,7.74,CN,1615994127
Oussouye,12.485,-16.5469,91.4,65,0,4.61,SN,1615994127
Fortuna,40.5982,-124.1573,37.0,100,1,8.05,US,1615994127
Arraial do Cabo,-22.9661,-42.0278,87.8,58,20,18.41,BR,1615994128
Chui,-33.6971,-53.4616,76.78,72,33,13.47,UY,1615994128
Oistins,13.0667,-59.5333,82.4,61,40,20.71,BB,1615993983
Aklavik,68.2191,-135.0107,-14.8,76,0,8.05,CA,1615994129
Alyangula,-13.8483,136.4192,82.42,74,93,6.53,AU,1615994129
El Salvador,13.8333,-88.9167,86.0,61,20,4.61,SV,1615994129
Nekā,36.6508,53.299,55.4,88,75,2.3,IR,1615994130
Brighton,50.8284,-0.1395,48.99,93,40,10.36,GB,1615994130
Broken Hill,-31.95,141.4333,64.4,72,40,16.11,AU,1615994130
Sur,22.5667,59.5289,76.5,62,12,1.34,OM,1615994131
Severo-Kuril'sk,50.6789,156.125,32.58,97,100,25.68,RU,1615994131
Cabo San Lucas,22.8909,-109.9124,64.4,63,1,3.8,MX,1615994131
Lerwick,60.1545,-1.1494,46.4,76,20,11.5,GB,1615994131
Ponta do Sol,32.6667,-17.1,73.4,38,20,12.66,PT,1615994132
Kargat,55.1956,80.2811,10.67,91,53,13.6,RU,1615994132
Lesnyye Polyany,55.9667,37.8667,33.8,69,0,8.95,RU,1615994132
Sungai Besar,3.6746,100.9867,80.6,89,20,2.3,MY,1615994133
Peleduy,59.6289,112.7406,18.63,95,100,6.93,RU,1615994133
Katherine,-14.4667,132.2667,75.2,100,90,10.36,AU,1615994133
Omboué,-1.5746,9.2618,78.89,78,93,3.02,GA,1615994133
Matadi,-5.8167,13.45,90.16,57,58,3.0,CD,1615994134
Nyurba,63.2842,118.3319,-14.76,92,93,5.99,RU,1615994134
Tomatlán,19.9333,-105.25,73.9,37,0,1.23,MX,1615994134
Ucluelet,48.9329,-125.5528,33.8,100,75,4.61,CA,1615994135
Lapua,62.9693,23.0088,35.01,64,0,3.44,FI,1615994135
Airai,-8.9266,125.4092,61.79,94,100,1.52,TL,1615994135
East Stroudsburg,40.9995,-75.1813,39.0,100,90,3.33,US,1615994135
Ipanema,-30.1391,-51.2244,82.99,74,75,9.22,BR,1615994136
Esperance,-33.8667,121.9,71.6,46,0,10.36,AU,1615993868
Port Hardy,50.6996,-127.4199,44.6,75,75,5.75,CA,1615994136
Sisimiut,66.9395,-53.6735,11.66,75,22,7.96,GL,1615994136
São João da Barra,-21.6403,-41.0511,87.8,55,0,2.3,BR,1615994137
Natá,8.3333,-80.5167,86.0,58,20,8.05,PA,1615994137
Bolu Province,40.6667,31.5833,37.04,95,100,5.48,TR,1615994137
São Filipe,14.8961,-24.4956,72.77,73,0,7.58,CV,1615994137
Verkhnevilyuysk,63.4453,120.3167,-12.32,94,87,5.84,RU,1615994138
Bathsheba,13.2167,-59.5167,82.4,61,40,20.71,BB,1615994138
